ENSG00000013503	"Hsap38.chr12.106472371.106475922.-"
ENSG00000251165	"Hsap38.chr4.186398819.186399553.-"
ENSG00000197217	"Hsap38.chr8.23420025.23420804.+"
ENSG00000185046	"Hsap38.chr12.99929212.99930759.-"
ENSG00000255346	"Hsap38.chr15.68993023.68993697.-"
ENSG00000205758	"Hsap38.chr21.33629591.33629902.-"
ENSG00000249209	"Hsap38.chr21.33926426.33928099.-"
ENSG00000114126	"Hsap38.chr3.142137133.142137867.-"
ENSG00000227082	"Hsap38.chr1.121405083.121406048.+"
ENSG00000197651	"Hsap38.chr12.90932550.90933194.-"
ENSG00000253438	"Hsap38.chr8.126981119.126984034.-"
ENSG00000215160	"Hsap38.chr3.8683236.8683661.+"
ENSG00000158258	"Hsap38.chr3.140043975.140045516.-"
ENSG00000137727	"Hsap38.chr11.110701994.110702737.+"
ENSG00000233008	"Hsap38.chr1.83685673.83686731.-"
ENSG00000230817	"Hsap38.chr1.82957849.82958241.+"
ENSG00000233290	"Hsap38.chr1.82252005.82255478.+"
ENSG00000254698	"Hsap38.chr11.82964214.82964552.-"
ENSG00000250961	"Hsap38.chr5.57471809.57475627.-"
ENSG00000054983	"Hsap38.chr14.87929995.87930546.+"
ENSG00000141627	"Hsap38.chr18.49219704.49220780.+"
ENSG00000198429	"Hsap38.chr19.11909693.11910475.+"
ENSG00000196757	"Hsap38.chr19.11944251.11945129.-"
ENSG00000267179	"Hsap38.chr19.11944251.11945129.-"
ENSG00000267274	"Hsap38.chr19.11944251.11945129.-"
ENSG00000146433	"Hsap38.chr6.158615882.158616976.-"
ENSG00000111110	"Hsap38.chr12.62823519.62823944.+"
ENSG00000218226	"Hsap38.chr6.158615882.158616976.-"
ENSG00000258807	"Hsap38.chr14.87776281.87777684.-"
ENSG00000254416	"Hsap38.chr11.110383355.110385976.-"
ENSG00000138641	"Hsap38.chr4.88638487.88639206.+"
ENSG00000203780	"Hsap38.chr10.125948670.125949254.+"
ENSG00000142973	"Hsap38.chr1.46795479.46796459.-"
ENSG00000026652	"Hsap38.chr6.161174485.161174943.-"
ENSG00000141759	"Hsap38.chr18.80016907.80018184.-"
ENSG00000239332	"Hsap38.chr2.46819957.46820673.-"
ENSG00000222005	"Hsap38.chr2.46819957.46820673.-"
ENSG00000285385	"Hsap38.chr4.88550204.88551274.+"
ENSG00000166596	"Hsap38.chr17.9617948.9621796.+"
ENSG00000187231	"Hsap38.chr2.179189136.179189642.+"
ENSG00000067177	"Hsap38.chrX.72670295.72671044.+"
ENSG00000188883	"Hsap38.chr7.139464887.139465435.+"
ENSG00000244464	"Hsap38.chr3.99605525.99606010.-"
ENSG00000232461	"Hsap38.chr3.176709415.176711487.+"
ENSG00000144810	"Hsap38.chr3.99733369.99735366.-"
ENSG00000243694	"Hsap38.chr3.81051615.81055466.-"
ENSG00000269486	"Hsap38.chr19.38935750.38936322.-"
ENSG00000269547	"Hsap38.chr19.38939287.38940045.-"
ENSG00000106013	"Hsap38.chr7.118315810.118316184.-"
ENSG00000149256	"Hsap38.chr11.78677994.78681845.-"
ENSG00000233806	"Hsap38.chr2.241919157.241919495.+"
ENSG00000257997	"Hsap38.chr12.114085386.114085955.+"
ENSG00000225546	"Hsap38.chr7.119858561.119859442.+"
ENSG00000184408	"Hsap38.chr7.120323519.120325699.-"
ENSG00000203386	"Hsap38.chr2.33917167.33917898.-"
ENSG00000005020	"Hsap38.chr7.26834366.26835217.+"
ENSG00000112414	"Hsap38.chr6.142423415.142424926.-"
ENSG00000078674	"Hsap38.chr8.18021536.18021814.+"
ENSG00000226856	"Hsap38.chr2.118138775.118140778.-"
ENSG00000137601	"Hsap38.chr4.169515723.169519562.-"
ENSG00000273269	"Hsap38.chr2.47103939.47105573.+"
ENSG00000232855	"Hsap38.chr21.28558847.28559248.+"
ENSG00000239605	"Hsap38.chr2.47103939.47105573.+"
ENSG00000005175	"Hsap38.chr12.47677022.47677471.+"
ENSG00000175110	"Hsap38.chr3.139145007.139145807.-"
ENSG00000144645	"Hsap38.chr3.32071190.32072599.+"
ENSG00000258117	"Hsap38.chr12.63334550.63335032.+"
ENSG00000197647	"Hsap38.chr19.12023323.12023790.+"
ENSG00000219665	"Hsap38.chr19.12006167.12008671.-"
ENSG00000257355	"Hsap38.chr19.12023323.12023790.+"
ENSG00000065534	"Hsap38.chr3.123851256.123852137.-"
ENSG00000154198	"Hsap38.chr1.46848280.46850298.+"
ENSG00000187240	"Hsap38.chr11.103387880.103388725.-"
ENSG00000116774	"Hsap38.chr1.114029915.114030670.+"
ENSG00000143457	"Hsap38.chr1.150656709.150657395.+"
ENSG00000133640	"Hsap38.chr12.85195404.85197146.+"
ENSG00000156831	"Hsap38.chr8.125198257.125198838.-"
ENSG00000134216	"Hsap38.chr1.111299170.111299805.+"
ENSG00000156269	"Hsap38.chr4.79270283.79271464.+"
ENSG00000249307	"Hsap38.chr4.78977594.78980392.-"
ENSG00000147676	"Hsap38.chr8.119237097.119238314.+"
ENSG00000137948	"Hsap38.chr1.91973617.91973877.-"
ENSG00000253972	"Hsap38.chr8.119237097.119238314.+"
ENSG00000114480	"Hsap38.chr3.81667332.81667880.-"
ENSG00000249753	"Hsap38.chr12.63631904.63632563.+"
ENSG00000177990	"Hsap38.chr12.63631904.63632563.+"
ENSG00000270792	"Hsap38.chr20.10819967.10820689.+"
ENSG00000196876	"Hsap38.chr12.51607205.51608092.-"
ENSG00000165091	"Hsap38.chr9.72796562.72797431.+"
ENSG00000232895	"Hsap38.chr1.114245406.114246002.+"
ENSG00000131018	"Hsap38.chr6.152494258.152494986.+"
ENSG00000186160	"Hsap38.chr1.47087479.47088480.-"
ENSG00000172551	"Hsap38.chr12.54851324.54851863.+"
ENSG00000242009	"Hsap38.chr3.81881972.81882460.+"
ENSG00000184863	"Hsap38.chr7.155687934.155688692.-"
ENSG00000239440	"Hsap38.chr3.82400149.82403250.+"
ENSG00000253398	"Hsap38.chr8.119458402.119459190.-"
ENSG00000059377	"Hsap38.chr7.139835233.139835811.+"
ENSG00000140543	"Hsap38.chr15.88542197.88542721.+"
ENSG00000225506	"Hsap38.chr1.47125285.47126133.+"
ENSG00000182050	"Hsap38.chr12.86630803.86632206.+"
ENSG00000258185	"Hsap38.chr12.86630803.86632206.+"
ENSG00000116171	"Hsap38.chr1.53007989.53009005.+"
ENSG00000121207	"Hsap38.chr4.154650617.154651042.+"
ENSG00000151962	"Hsap38.chr4.154789318.154790088.-"
ENSG00000203711	"Hsap38.chr6.158881135.158882367.-"
ENSG00000185250	"Hsap38.chr6.109411211.109411663.+"
ENSG00000250334	"Hsap38.chr4.79519357.79521210.+"
ENSG00000148848	"Hsap38.chr10.126344271.126345473.-"
ENSG00000242641	"Hsap38.chr3.84811005.84812171.-"
ENSG00000242339	"Hsap38.chr3.84888624.84889169.+"
ENSG00000248932	"Hsap38.chr3.139408522.139409364.+"
ENSG00000064393	"Hsap38.chr7.139678451.139679290.-"
ENSG00000163864	"Hsap38.chr3.139592927.139594771.+"
ENSG00000196935	"Hsap38.chr12.64132279.64132890.-"
ENSG00000168386	"Hsap38.chr3.99993468.99993962.-"
ENSG00000103942	"Hsap38.chr15.82884644.82886959.-"
ENSG00000184220	"Hsap38.chr3.99993468.99993962.-"
ENSG00000240721	"Hsap38.chr12.87947043.87947636.+"
ENSG00000186452	"Hsap38.chr12.50870045.50871085.+"
ENSG00000250910	"Hsap38.chr4.155282069.155284501.-"
ENSG00000228651	"Hsap38.chr10.52731928.52732872.-"
ENSG00000275830	"Hsap38.chr13.110039929.110041401.+"
ENSG00000255246	"Hsap38.chr11.82626378.82627187.+"
ENSG00000245832	"Hsap38.chr11.82158896.82160584.+"
ENSG00000138640	"Hsap38.chr4.88923203.88925497.+"
ENSG00000228221	"Hsap38.chr3.177661147.177661911.-"
ENSG00000059758	"Hsap38.chr12.96318946.96320037.+"
ENSG00000226785	"Hsap38.chr2.34572498.34575536.-"
ENSG00000223930	"Hsap38.chr3.178365122.178365730.+"
ENSG00000272027	"Hsap38.chr2.34701291.34701830.+"
ENSG00000197584	"Hsap38.chr3.178782011.178784026.-"
ENSG00000228262	"Hsap38.chr2.34701291.34701830.+"
ENSG00000169994	"Hsap38.chr2.127616449.127616931.-"
ENSG00000139132	"Hsap38.chr12.32425947.32426771.-"
ENSG00000226994	"Hsap38.chr2.34933590.34934360.+"
ENSG00000275163	"Hsap38.chr3.178782011.178784026.-"
ENSG00000237978	"Hsap38.chr3.178782011.178784026.-"
ENSG00000172340	"Hsap38.chr3.67538774.67539781.-"
ENSG00000146856	"Hsap38.chr7.135069896.135071137.+"
ENSG00000241316	"Hsap38.chr3.67904442.67905560.-"
ENSG00000172667	"Hsap38.chr3.179055102.179056223.+"
ENSG00000183662	"Hsap38.chr3.68259467.68260516.-"
ENSG00000122783	"Hsap38.chr7.135140372.135140923.-"
ENSG00000128578	"Hsap38.chr7.129444939.129445490.-"
ENSG00000092108	"Hsap38.chr14.30685031.30688612.-"
ENSG00000279912	"Hsap38.chr15.32185522.32188755.+"
ENSG00000102313	"Hsap38.chrX.54766176.54767381.-"
ENSG00000163377	"Hsap38.chr3.68828125.68829150.-"
ENSG00000241648	"Hsap38.chr3.85815120.85815860.+"
ENSG00000239519	"Hsap38.chr3.86020215.86021123.+"
ENSG00000175161	"Hsap38.chr3.85293052.85294323.+"
